1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,class
0.006118643641,0.006496106526,0.3760325897,0.3808161925,0.3729039846,2.294986384,2.619055106,0.02396389993,0.007182986844,3.167534083,5.448414898,6.209783062,4.218133934,2.885601577,1.08911074,0.3566809954,0.003066349621,2.368378786,2.481616854,4.520798039,5.93231874,10.72575809,16.64937283,9.896211447,6.518222766,1.62951693,0.002244393014,5.243399869,4.970521315,4.879907188,5.852161178,8.954868536,6.249752752,3.803605105,4.611882346,7.876437538,0.005060948528,2.563534264,5.241721612,4.230244334,4.976646916,4.996890585,4.100212822,7.373014942,5.518921123,3.839865503,6.408429413,7.713889636,6.219017015,10.35698628,6.083380463,5.006408635,3.938518726,7.073220942,5.859135662,4.116589521,3.862087602,5.199316248,5.915850421,5.667435041,4.575193269,4.582553009,5.351693141,4.690489186,5.037279661,4.616208903,5.763435,4.586887649,3
5.130936144,3.809990947,2.647580848,1.615178921,1.090795972,4.607780356,6.129424633,7.700911834,10.03077536,8.510853815,7.19900598,5.018997552,2.905951704,2.476731581,3.126688486,3.716813808,4.890765535,9.467719771,10.377255,11.06928175,10.01158859,8.596914403,8.870912541,10.28129362,11.25906822,10.62287543,8.606573019,8.05767044,6.6228294,5.195472726,3.729006337,2.604853097,2.159851906,1.723074311,2.013242576,2.333877994,6.399113767,7.720935832,7.2714466,5.762400842,5.034371916,5.428229475,5.706075115,6.909739044,7.520567019,6.061472381,5.449333272,5.422063718,3.621876861,0.3190245723,1.814270671,2.017092252,1.898927388,2.024398657,5.339431555,8.554276802,11.33131733,13.09564423,11.51139921,7.948162525,3.428172637,2.268140265,3.086893719,2.722922272,4.883648796,9.955669079,12.12296083,9.576789509,7
0.10683755,1.013166279,1.628151807,3.092516639,4.164276213,5.007249194,5.905156125,7.068426585,7.877078436,8.254015787,4.96339042,1.681230611,0.2640440001,0.5276543699,0.9446581308,0.2584174859,0.1115136476,6.505118029,5.859955729,4.070650696,3.048005054,2.129171401,4.587016851,4.978898285,6.295997591,6.595098922,4.083162211,2.306707252,1.863569413,1.514691837,1.603656968,2.099872984,1.077497668,2.117999136,1.149769323,1.575142819,6.909594798,6.341498338,5.151337883,0.8361324623,2.692860619,4.554619019,2.238925919,4.579627951,4.284933859,2.949166823,2.507930711,2.563481481,13.31022829,9.042791449,5.977693645,2.069159314,2.688504436,7.133197821,12.11321082,12.8765706,17.35006536,16.85319207,17.8582707,12.64981365,17.80945009,11.64216396,5.859783533,8.268683343,13.88589712,8.523229122,6.866777477,11.67745962,1
3.927662883,4.089530728,4.538532822,8.748866084,3.629076293,1.388591162,1.600399354,2.623869059,3.067727935,2.309530654,1.648622193,1.282358609,6.118977554,9.985868882,6.354917643,3.058375649,3.214821745,2.019108456,0.6583663675,1.673607513,1.682199997,2.219746698,1.559348636,1.205133428,1.37392335,1.35970849,2.021726666,3.034990692,1.423519414,1.579589961,2.545451162,4.591268697,2.660769146,1.338224221,2.880494536,4.419966939,3.135229593,2.299015492,2.553671401,3.181902742,5.769771195,4.928417849,1.021466239,1.652255017,2.995286179,4.232950571,3.243382323,2.278464702,21.68739929,20.61105088,15.93711048,13.36376019,16.5246801,23.16931968,25.24626419,16.11267386,14.20766931,9.338681633,11.24488672,12.76303115,28.67166434,23.65374273,17.05065535,25.27812091,30.08240206,17.05992929,6.601440784,15.5506554,5
2.60124385,3.738913428,3.485516827,2.383051004,3.127895042,3.641739547,3.913278478,3.494112366,4.310319586,7.075039582,5.424857275,6.593463243,7.237830419,7.753109089,8.758578427,9.193072131,9.023859136,6.342707069,9.172921746,9.907902618,7.767475909,4.90638597,2.897068292,3.353772139,6.411669289,8.018289343,5.366870104,3.653557269,4.181088277,5.033560979,4.967048131,0.9551983072,0.7623487053,1.205441417,0.3194493789,2.445897243,3.829113989,4.70854544,4.801798325,0.8949398859,3.663960636,4.294974682,1.946261216,6.11110076,7.928295012,11.48113557,7.476126107,3.392626229,5.187067014,3.232315838,2.255293829,3.53578072,1.769268017,2.936473731,4.078612158,9.247395045,18.67256884,22.1954774,20.03192126,9.550800925,7.005643478,2.804536607,5.903137068,4.626900147,5.310468011,4.831025856,3.341709631,3.689926025,7
3.326151501,3.420580458,3.818382722,3.774414196,3.629634885,3.424418641,4.094220372,4.534250396,4.433065734,3.360317788,2.318985027,0.453408143,0.9503559204,2.157871559,3.149850713,4.264779577,4.968493553,2.412026649,2.62864452,1.24391336,2.097011598,6.097739536,6.871397881,3.420897633,4.066151752,3.984555084,4.141925868,2.512880165,3.388775602,3.940016671,4.77854071,9.879415524,6.933155196,6.754839662,8.073542872,11.21775093,4.943882027,5.306911077,4.710112124,5.129195173,4.335454135,4.196083986,6.352700476,3.795578658,2.908407435,4.75847547,5.051122156,5.355649723,7.622506703,7.322231145,7.427807048,5.265297199,7.426489574,7.231928887,9.012570163,4.232748657,4.339822329,8.120895004,6.133382166,3.006048235,4.229305889,7.284339163,12.1668835,9.244439742,8.719553781,5.766069211,6.297486488,3.696570222,6
11.90652797,10.1100504,9.289881729,9.973761927,10.41918384,9.328691166,8.344545245,7.851084801,6.794245528,5.869851513,5.078348624,2.971349995,4.296823807,6.142208921,8.334143326,9.809138921,10.9852416,8.917190449,12.42860333,17.16523838,22.24993495,25.51870958,28.24326048,23.19345658,19.80864595,16.83897987,17.19957648,14.60896912,14.6329825,14.65814836,14.68352378,13.80175677,13.07443808,13.24003302,11.29161772,11.52250933,11.44183681,11.26235614,12.8799434,13.36558992,11.93885251,11.98567882,11.62047157,13.95642426,13.61494356,12.68060005,10.37421915,11.8782428,17.807065,18.32529029,15.37793313,14.49608165,13.76969646,13.17217901,10.76607305,4.854577624,3.192472429,8.073748339,11.25506062,14.25847059,22.75985827,19.21731662,14.13312654,12.0921103,11.57798242,4.18961679,10.66968205,16.36909856,4
7.680798793,7.654912798,7.139539701,6.546421585,6.136108197,5.479715429,4.538280721,4.850839549,4.564426957,3.423028054,2.749762451,1.543238939,1.782497463,2.41528751,3.637710866,4.291076629,4.234177235,8.529266317,17.21103695,18.48839927,18.4164447,15.90991891,12.97403506,16.99339287,14.94939343,12.78771194,8.002273548,4.568879269,4.368388196,4.508330097,4.372829005,5.826922503,4.806764463,4.206549723,4.996165748,6.23639441,4.787184955,11.13805999,9.848524639,2.554704851,2.044379225,2.794925613,6.460146214,14.29290354,12.39600685,5.73403935,2.796911887,4.258649212,11.80778059,10.49348162,10.17285823,8.376219666,9.184168103,6.146572757,5.010972841,2.574462542,2.462347736,5.182392235,6.626643385,8.430110348,7.398015572,6.655592644,6.222059375,5.525409687,5.9794388,4.896310929,4.594679755,6.168628393,1
2.905541467,2.735006206,3.386196671,2.770453093,2.836482107,2.639867807,2.557897587,5.353427769,7.142284646,6.032920801,5.898464562,6.270047179,5.303778155,5.226036085,5.020910535,5.62090002,4.693977659,4.66039635,10.65400029,12.83760526,14.74470291,15.3073944,16.36228843,14.58673892,13.04715588,11.23087732,5.679223555,9.251241315,5.021971122,1.720219567,5.217707206,11.1368265,9.146692702,7.339321191,8.918295183,11.38211823,8.057930805,11.40735158,10.33412274,0.09771173164,3.832943519,5.314187242,1.712161822,12.19026786,10.74898959,3.385859703,3.43796466,3.745977769,6.710048742,14.15604534,11.80553892,9.939067898,10.11434123,11.84839149,9.361053099,1.006888501,3.668580136,6.277878881,6.726690551,5.572797458,8.398577817,13.02607968,12.25165535,11.32599465,5.159703545,2.195283416,3.280583792,5.824205969,3
0.8015111531,1.010887565,1.352165591,1.980264579,3.917891594,3.659050558,1.081849708,5.395270779,6.875699594,7.692445229,5.718287773,5.454379329,4.861087069,6.307775515,5.525065494,5.188100784,4.988002822,3.406045735,3.184085358,3.776811288,4.205692755,6.146600157,3.597954554,2.175889727,0.7410748403,2.088017281,2.556367263,1.654636314,1.308248594,0.5414846055,0.5069335192,7.285501467,4.271415772,2.105114222,2.522031511,2.930787916,7.4824701,5.126969138,3.464829607,2.62812523,3.791422967,6.389568324,3.470636057,2.220504768,5.282585187,7.755206696,3.393807328,1.413450777,30.33259602,20.25898636,13.54314839,13.66985444,12.96293275,17.57450735,23.69937198,12.9227981,7.899792093,7.573822985,12.09358633,19.09403233,49.62598385,29.48303647,16.73952446,23.52070741,40.34674473,19.74583567,4.399657811,27.76141939,5
